Actor_ID,Actor_name
A000842,Kip Pardue
A000843,Kippei Shîna
A000844,Kiran Juneja
A000845,Kirsten Dunst
A000846,Kirsten Zien
A000847,Konkona Sen Sharma
A000848,Konstantin Kryukov
A000849,Kook-huan Chun
A000850,Kris Crevani
A000851,Kris Kristofferson
A000852,Kristanna Loken
A000853,Kristen Stewart
A000854,Kristin Scott Thomas
A000855,Kristina Anapau
A000856,Kristoffer Joner
A000857,Kristy Thomas
A000858,Kuei-Mei Yang
A000859,Kuno Becker
A000860,Kurt Russell
A000861,Kyeong-ik Kim
A000862,Kyra Sedgwick
A000863,LL Cool J
A000864,Lacey Chabert
A000865,Lara Dutta
A000866,Lara Phillips
A000867,Larisa Vega Alamar
A000868,Larry Fessenden
A000869,Laura Cayouette
A000870,Laura Dern
A000871,Laura Johnson
A000872,Laura Linney
A000873,Laura Morante
A000874,Laura Ramsey
A000875,Lauren Graham
A000876,Lauren Holly
A000877,Lauren Lee Smith
A000878,Laurence Fishburne
A000879,Laurence Kinlan
A000880,Len Cariou
A000881,Lena Headey
A000882,Leo Gregory
A000883,Leon Lai
A000884,Leonardo Guerra
A000885,Lesley Ann Warren
A000886,Leticia Dolera
A000887,Liam Falconer
A000888,Liam Neeson
A000889,Lili Taylor
A000890,Lin Shaye
A000891,Linda Hamilton
A000892,Lindsay Lohan
A000893,Lindy Booth
A000894,Lisa Enos
A000895,Lisa Kudrow
A000896,Lisa Long
A000897,Lois Smith
A000898,Louie Leonardo
A000899,Louis Koo
A000900,Louis Mahoney
A000901,Louise Portal
A000902,Lubna Azabal
A000903,Lucia Snieg
A000904,Lucille Bliss
A000905,Luisa María Jiménez Rodríquez
A000906,Lukas Haas
A000907,Luke Goss
A000908,Luke Mably
A000909,Luke Wilson
A000910,Luoyong Wang
A000911,Lutuf Nouasser
A000912,Lynn Redgrave
A000913,Lázaro Ramos
A000914,Mabel Adams
A000915,Macey Cruthird
A000916,Macy Gray
A000917,Madeleine Blaustein
A000918,Madeleine Daly
A000919,Madeleine Potter
A000920,Mads Mikkelsen
A000921,Maggie Grace
A000922,Maggie Gyllenhaal
A000923,Maggie Smith
A000924,Majandra Delfino
A000925,Mako
A000926,Malcolm Gets
A000927,Malú Tarrau Broche
A000928,Manolo Cardona
A000929,Manu Fullola
A000930,Marc Barbé
A000931,Marc Warren
A000932,Marc-André Grondin
A000933,Marcel Iures
A000934,Marcell Nagy
A000935,Marcia Gay Harden
A000936,Marcos Hernández
A000937,Marcus Thomas
A000938,Maria Bello
A000939,Maria Lundqvist
A000940,Maria Menezes
A000941,Marieh Delfino
A000942,Marika Matsumoto
A000943,Marinela Dekic
A000944,Marjaana Maijala
A000945,Mark Aspinall
A000946,Mark Duplass
A000947,Mark Ruffalo
A000948,Mark Wahlberg
A000949,Martha Millan
A000950,Martin Donovan
A000951,Martin Hancock
A000952,Martin Henderson
A000953,Martin Huba
A000954,Martin Lawrence
A000955,Marton Csokas
A000956,Mary Jo Smith
A000957,Mary Kay Place
A000958,Mary Makhatho
A000959,Mary Pat Dowhy
A000960,Maryam Hamid
A000961,Massimiliano Andrighetto
A000962,Mathieu Amalric
A000963,Mathieu Kassovitz
A000964,Matt Bush
A000965,Matt Dillon
A000966,Matthew Broderick
A000967,Matthew Carey
A000968,Matthew Davis
A000969,Matthew Goode
A000970,Matthew Le Nevez
A000971,Matthew McConaughey
A000972,Matthew Modine
A000973,Maurice Bénichou
A000974,Maurice Orozco
A000975,Maurice Roëves
A000976,Max Martini
A000977,Max Minghella
A000978,Max von Sydow
A000979,Maya Barovich
A000980,Mayko Nguyen
A000981,Meagan Good
A000982,Mekhi Phifer
A000983,Melissa George
A000984,Melvil Poupaud
A000985,Meredith Scott Lynn
A000986,Meryl Streep
A000987,Michael Angarano
A000988,Michael Bentt
A000989,Michael Biehn
A000990,Michael Caine
A000991,Michael Chiklis
A000992,Michael Keaton
A000993,Michael Lerner
A000994,Michael Madsen
A000995,Michael Nyqvist
A000996,Michael Pitt
A000997,Michael Sheen
A000998,Michael Showalter
A000999,Michael Vartan
A001000,Michel Côté
A001001,Michelle Horn
A001002,Michelle Monaghan
A001003,Michelle Trachtenberg
A001004,Michelle Williams
A001005,Mickey Rourke
A001006,Miguel Ferrer
A001007,Miguel O'Dogherty
A001008,Miguel Sandoval
A001009,Mika Boorem
A001010,Mike Ditka
A001011,Mike Epps
A001012,Mike O'Malley
A001013,Mike Vogel
A001014,Miles Thompson
A001015,Milo Ventimiglia
A001016,Milton Velasquez
A001017,Min-a Shin
A001018,Min-sik Choi
A001019,Miranda July
A001020,Miranda Otto
A001021,Miriam Colon
A001022,Mirta Busnelli
A001023,Mithun Chakraborty
A001024,Mohamed Graïaa
A001025,Monica Barladeanu
A001026,Monica Bellucci
A001027,Monica Peña
A001028,Morena Baccarin
A001029,Morgan Freeman
A001030,Morgan Jones
A001031,Morris Chestnut
A001032,Morten Suurballe
A001033,Moshe Abebe
A001034,Moshe Agazai
A001035,Mothusi Magano
A001036,Mya
A001037,Ménothy Cesar
A001038,Mónica Cervera
A001039,N.O.R.E.
A001040,Nahuel Pérez Biscayart
A001041,Nana Patekar
A001042,Nansal Batchuluun
A001043,Nansalmaa Batchuluun
A001044,Naomi Watts
A001045,Naseeruddin Shah
A001046,Natalie Dessay
A001047,Natalie Mendoza
A001048,Natalie Portman
A001049,Natasha Richardson
A001050,Natasha Wightman
A001051,Natasja Vermeer
A001052,Nathalie Cox
A001053,Nathan Fillion
A001054,Nathan Lane
A001055,Nathan Phillips
A001056,Nelly
A001057,Nia Long
A001058,Nicholas Blane
A001059,Nicholas Hoult
A001060,Nicholas Tse
A001061,Nick Barber
A001062,Nick Cannon
A001063,Nick Cheung
A001064,Nick Nolte
A001065,Nicolas Bro
A001066,Nicolas Cage
A001067,Nicole Ari Parker
A001068,Nicole Kidman
A001069,Niels Arestrup
A001070,Nikita Hopkins
A001071,Nitin Ganatra
A001072,Noah Fleiss
A001073,Noah Taylor
A001074,Nona Gaye
A001075,Nora Zehetner
A001076,Norberto Morán
A001077,Norman Reedus
A001078,Nthabiseng Kenoshi
A001079,Odessa Rae
A001080,Ok-bin Kim
A001081,Olga Kurylenko
A001082,Oliver Platt
A001083,Omar Benson Miller
A001084,Omar Cowan
